id,good_ingredients,bad_ingredients
387,"['glycerin', 'panthenol', 'tocopherol', 'titanium dioxide']",[]
388,"['glycerin', 'tocopherol']",[]
389,['tocopherol'],[]
390,"['glycerin', 'panthenol', 'tocopherol', 'titanium dioxide']",[]
391,"['panthenol', 'tocopherol']",[]
392,['tocopherol'],[]
393,['titanium dioxide'],[]
394,['tocopherol'],[]
395,['tocopherol'],[]
396,['tocopherol'],[]
397,"['glycerin', 'tocopherol', 'allantoin']",[]
398,['tocopherol'],[]
399,['tocopherol'],[]
400,"['centella asiatica extract', 'titanium dioxide']",[]
401,"['tocopherol', 'sodium hyaluronate', 'titanium dioxide']",[]
402,['tocopherol'],[]
403,['tocopherol'],[]
404,[],[]
405,"['tocopherol', 'titanium dioxide']",[]
406,['tocopherol'],[]
407,"['glycerin', 'tocopherol']",[]
408,"['glycerin', 'panthenol', 'allantoin', 'ethylhexyl glycerin', 'tocopherol']",['propylene glycol']
409,[],[]
410,['tocopherol'],[]
411,[],[]
412,"['glycerin', 'ethylhexyl glycerin']",['propylene glycol']
413,['tocopherol'],[]
414,"['glycerin', 'allantoin']",[]
415,[],[]
416,[],[]
417,"['tocopherol', 'titanium dioxide', 'sodium hyaluronate']",[]
418,['tocopherol'],[]
419,['tocopherol'],[]
420,['titanium dioxide'],[]
421,"['titanium dioxide', 'tocopherol', 'titanium dioxide']",['benzophenone-3']
422,['glycerin'],[]
423,['glycerin'],[]
424,"['tocopherol', 'tocopherol']",[]
425,"['tocopherol', 'ethylhexyl glycerin']",[]
426,['glycerin'],[]
427,"['glycerin', 'panthenol', 'allantoin', 'ethylhexyl glycerin', 'tocopherol']",[]
428,"['glycerin', 'tocopherol']",['dipropylene glycol']
429,"['polyglycerin-3', 'tocopherol']",[]
430,['tocopherol'],[]
431,"['glycerin', 'tocopherol']",[]
432,[],[]
433,"['glycerin', 'dexpanthenolum', 'allantoin', 'ethylhexyl glycerin', 'zinc oxide']",['dipropylene glycol']
434,"['tocopherol', 'sodium hyaluronate', 'titanium dioxide']",[]
435,"['glycerin', 'panthenol', 'sodium hyaluronate', 'tocopherol', 'ethylhexyl glycerin']",[]
436,"['glycerin', 'panthenol', 'tocopherol']",['propylene glycol']
437,"['glycerin', 'tocopherol']",[]
438,"['glycerin', 'allantoin', 'ethylhexyl glycerin']","['dipropylene glycol', 'propylene glycol']"
439,"['glycerin', 'tocopherol']",[]
440,[],[]
441,"['glycerin', 'sodium hyaluronate']",[]
442,"['glycerin', 'polyglycerin-3', 'centella asiatica extract', 'tocopherol']",[]
443,[],[]
444,['linoleic acid'],[]
445,['glycerin'],[]
446,"['glycerin', 'sodium hyaluronate']",['propylene glycol']
447,"['glycerin', 'panthenol', 'tocopherol', 'allantoin', 'ethylhexyl glycerin']",[]
